,time,open,high,low,close,MA,Histogram,MACD,Signal,RSI,RSI-based MA
9038,2020-10-05 14:00:00+07:00,913.38,915.07,913.38,914.68,904.2326966,0.245620885,1.077453328,0.831832443,56.48318256,55.07160391
9039,2020-10-06 09:00:00+07:00,918.11,918.93,915.88,917.43,904.5321348,0.482270235,1.434670237,0.952400002,60.14703021,55.39996939
9040,2020-10-06 10:00:00+07:00,917.21,918.13,914.34,914.45,904.7507865,0.406456573,1.460470719,1.054014146,54.76606627,55.21098525
9041,2020-10-06 11:00:00+07:00,913.95,915.14,912.77,914.56,905.001236,0.335041611,1.472816159,1.137774548,54.92636482,55.03098047
9042,2020-10-06 13:00:00+07:00,914.73,915.97,914.22,915.97,905.3062921,0.352326694,1.578182915,1.225856222,57.02848251,54.77021982
9043,2020-10-06 14:00:00+07:00,915.93,916.89,915.63,915.67,905.6350562,0.314369905,1.618818603,1.304448698,56.42551103,54.20984458
9044,2020-10-07 09:00:00+07:00,913.62,916.81,912.69,915.36,905.9333708,0.24242365,1.60747826,1.36505461,55.76932727,54.21428896
9045,2020-10-07 10:00:00+07:00,915.34,918.81,914.3,918.52,906.2762921,0.373839758,1.832354307,1.45851455,60.77664132,54.40062019
9046,2020-10-07 11:00:00+07:00,918.15,919.42,918.15,918.86,906.6021348,0.445012537,2.014780222,1.569767684,61.28449977,55.74605166
9047,2020-10-07 13:00:00+07:00,918.96,923.57,918.92,922.99,906.984382,0.715549644,2.464204739,1.748655095,66.89219173,56.94806617
9048,2020-10-07 14:00:00+07:00,923.02,923.02,918.73,919.72,907.2693258,0.62298085,2.527381158,1.904400308,59.53888992,57.33850827
9049,2020-10-08 09:00:00+07:00,922.08,922.08,916.95,920.06,907.5631461,0.53663879,2.575198795,2.038560005,60.03086999,57.96744477
9050,2020-10-08 10:00:00+07:00,920.17,921.32,919.01,919.3,907.8373034,0.387303181,2.522688981,2.1353858,58.32371003,58.35727912
9051,2020-10-08 11:00:00+07:00,919.04,919.04,917.0,917.31,908.1020225,0.126934385,2.294053782,2.167119397,53.99390368,58.31333365
9052,2020-10-08 13:00:00+07:00,917.26,918.71,913.89,916.98,908.3538202,-0.083730885,2.06245579,2.146186675,53.28743375,58.08506588
9053,2020-10-08 14:00:00+07:00,916.87,918.91,916.65,918.84,908.6197753,-0.112248003,2.005876672,2.118124675,56.72440347,57.84059254
9054,2020-10-09 09:00:00+07:00,919.48,921.63,917.7,919.47,908.867191,-0.103343165,1.988945719,2.092288883,57.8554886,58.06126556
9055,2020-10-09 10:00:00+07:00,919.46,920.94,918.94,920.94,909.1246067,-0.017607397,2.070279637,2.087887034,60.45283039,58.4560131
9056,2020-10-09 11:00:00+07:00,921.02,921.99,920.58,921.61,909.3920225,0.060776096,2.163857155,2.103081058,61.61401929,58.78355145
9057,2020-10-09 13:00:00+07:00,922.39,923.7,921.79,923.17,909.694382,0.187101536,2.336957978,2.149856442,64.24636061,59.34218356
9058,2020-10-09 14:00:00+07:00,922.98,924.0,922.05,924.0,910.0091011,0.289840532,2.512157107,2.222316575,65.5980916,60.04423815
9059,2020-10-12 09:00:00+07:00,930.78,932.86,928.87,931.28,910.3933708,0.783373581,3.201533552,2.41815997,74.65070345,61.03524259
9060,2020-10-12 10:00:00+07:00,931.1,931.23,928.99,928.99,910.7624719,0.883456445,3.522480527,2.639024082,68.54086494,61.55355439
9061,2020-10-12 11:00:00+07:00,929.17,932.83,929.05,932.83,911.1683146,1.120874548,4.040117267,2.919242719,72.59181208,61.96067013
9062,2020-10-12 13:00:00+07:00,932.64,933.13,927.95,927.95,911.5107865,0.872881142,4.010344146,3.137463004,61.71559219,62.11614886
9063,2020-10-12 14:00:00+07:00,928.14,928.32,923.28,925.83,911.8335955,0.507788709,3.77219889,3.264410181,57.67296804,61.94772729
