,time,open,high,low,close,Volume,Volume MA,MA,Histogram,MACD,Signal,RSI,RSI-based MA
159,2008-02-29 03:30:00+07:00,1366.45,1368.94,1365.25,1368.76,157,214.8,1355.831124,-0.683729226,5.869242585,6.552971811,52.54414418,58.76873135
160,2008-03-01 00:30:00+07:00,1364.07,1364.07,1342.48,1344.12,237,214.95,1355.843483,-2.610291837,3.290107015,5.900398852,39.91924359,57.86608372
161,2008-03-01 01:30:00+07:00,1344.14,1344.94,1340.88,1344.59,233,214.8,1355.673708,-3.704786654,1.269415535,4.974202189,40.21432552,56.84308549
162,2008-03-01 02:30:00+07:00,1343.78,1346.78,1341.69,1346.02,230,214.5,1355.513034,-4.150673356,-0.214139506,3.93653385,41.16120318,55.57520275
163,2008-03-01 03:30:00+07:00,1345.91,1346.32,1342.28,1344.91,154,214.4,1355.389213,-4.319287581,-1.462575626,2.856711955,40.62337401,54.01969456
164,2008-03-04 00:30:00+07:00,1330.45,1334.36,1322.08,1333.27,231,214.0,1355.148876,-4.967429222,-3.352574573,1.614854649,35.39975773,51.81325146
165,2008-03-04 01:30:00+07:00,1333.01,1333.01,1324.62,1328.13,235,213.9,1354.78573,-5.456016112,-5.205165491,0.250850621,33.35983379,49.42360408
166,2008-03-04 02:30:00+07:00,1328.02,1334.85,1327.44,1334.37,234,214.05,1354.533483,-5.080304264,-6.099529709,-1.019225445,38.02869017,47.91024973
167,2008-03-04 03:30:00+07:00,1333.83,1335.13,1328.93,1331.5,159,214.45,1354.238989,-4.752362024,-6.959677974,-2.207315951,36.75327245,46.03032469
168,2008-03-05 00:30:00+07:00,1329.58,1329.58,1320.0,1322.6,233,214.35,1353.832247,-4.84554104,-8.264242251,-3.418701211,33.0513825,43.8642619
169,2008-03-05 01:30:00+07:00,1322.21,1322.3,1311.97,1316.02,236,214.6,1353.459775,-5.038685156,-9.717057656,-4.6783725,30.59760335,41.44929162
170,2008-03-05 02:30:00+07:00,1316.19,1317.03,1312.34,1316.62,234,214.8,1352.958315,-4.814665516,-10.6967044,-5.882038879,31.09991775,39.66237821
171,2008-03-05 03:30:00+07:00,1316.74,1318.61,1310.49,1311.85,158,214.9,1352.376404,-4.672646455,-11.72284695,-7.050200493,29.28523119,38.10124019
172,2008-03-06 00:30:00+07:00,1327.69,1341.31,1327.69,1338.1,236,214.8,1352.129101,-2.599194803,-10.299194,-7.699999193,47.4556214,37.82097149
173,2008-03-06 01:30:00+07:00,1338.17,1339.03,1335.0,1337.74,234,214.55,1351.579438,-1.116116326,-9.095144601,-7.979028275,47.2762081,37.44469034
174,2008-03-06 02:30:00+07:00,1337.06,1344.19,1333.36,1334.42,235,214.6,1351.035843,-0.267174173,-8.312995992,-8.045821818,45.56531977,37.84798149
175,2008-03-06 03:30:00+07:00,1335.69,1336.47,1332.21,1336.47,159,214.75,1350.512472,0.483110466,-7.441933736,-7.925044202,46.84448838,38.32156456
